Safety_zonee_signal,N_d,psi_0 ,x_0,X_d,y_0,Y_d,u_hat,u_real  ,Absolute Time
1.000000,0.000000,0.000000,0.000000,-0.275963,0.000000,0.000000,0.280167,0.275963,3571750040.422832
1.000000,0.000000,0.000000,0.000000,-0.275659,0.000000,0.000000,0.280024,0.275659,3571750040.432831
1.000000,0.000000,0.000000,0.000000,-0.275355,0.000000,0.000000,0.279882,0.275355,3571750040.442831
1.000000,0.000000,0.000000,0.000000,-0.275052,0.000000,0.000000,0.279740,0.275052,3571750040.452832
1.000000,0.000000,0.000000,0.000000,-0.274750,0.000000,0.000000,0.279598,0.274750,3571750040.462831
1.000000,0.000000,0.000000,0.000000,-0.274448,0.000000,0.000000,0.279456,0.274448,3571750040.472832
1.000000,0.000000,0.000000,0.000000,-0.274146,0.000000,0.000000,0.279314,0.274146,3571750040.482831
1.000000,0.000000,0.000000,0.000000,-0.273844,0.000000,0.000000,0.279172,0.273844,3571750040.492823
1.000000,0.000000,0.000000,0.000000,-0.273544,0.000000,0.000000,0.279031,0.273544,3571750040.502833
1.000000,0.000000,0.000000,0.000000,-0.273243,0.000000,0.000000,0.278889,0.273243,3571750040.512834
1.000000,0.000000,0.000000,0.000000,-0.272943,0.000000,0.000000,0.278748,0.272943,3571750040.522831
1.000000,0.000000,0.000000,0.000000,-0.272643,0.000000,0.000000,0.278607,0.272643,3571750040.532831
1.000000,0.000000,0.000000,0.000000,-0.272344,0.000000,0.000000,0.278465,0.272344,3571750040.542831
1.000000,0.000000,0.000000,0.000000,-0.272045,0.000000,0.000000,0.278324,0.272045,3571750040.552831
1.000000,0.000000,0.000000,0.000000,-0.271747,0.000000,0.000000,0.278183,0.271747,3571750040.562832
1.000000,0.000000,0.000000,0.000000,-0.271449,0.000000,0.000000,0.278043,0.271449,3571750040.572833
1.000000,0.000000,0.000000,0.000000,-0.271151,0.000000,0.000000,0.277902,0.271151,3571750040.582831
1.000000,0.000000,0.000000,0.000000,-0.270854,0.000000,0.000000,0.277761,0.270854,3571750040.592822
1.000000,0.000000,0.000000,0.000000,-0.270557,0.000000,0.000000,0.277621,0.270557,3571750040.602833
1.000000,0.000000,0.000000,0.000000,-0.270261,0.000000,0.000000,0.277480,0.270261,3571750040.612831
1.000000,0.000000,0.000000,0.000000,-0.269965,0.000000,0.000000,0.277340,0.269965,3571750040.622832
1.000000,0.000000,0.000000,0.000000,-0.269669,0.000000,0.000000,0.277200,0.269669,3571750040.632835
1.000000,0.000000,0.000000,0.000000,-0.269374,0.000000,0.000000,0.277060,0.269374,3571750040.642831
1.000000,0.000000,0.000000,0.000000,-0.269079,0.000000,0.000000,0.276920,0.269079,3571750040.652836
1.000000,0.000000,0.000000,0.000000,-0.268785,0.000000,0.000000,0.276780,0.268785,3571750040.662832
1.000000,0.000000,0.000000,0.000000,-0.268491,0.000000,0.000000,0.276640,0.268491,3571750040.672831
1.000000,0.000000,0.000000,0.000000,-0.268197,0.000000,0.000000,0.276501,0.268197,3571750040.682832
1.000000,0.000000,0.000000,0.000000,-0.267904,0.000000,0.000000,0.276361,0.267904,3571750040.692832
1.000000,0.000000,0.000000,0.000000,-0.267611,0.000000,0.000000,0.276222,0.267611,3571750040.702833
1.000000,0.000000,0.000000,0.000000,-0.267319,0.000000,0.000000,0.276082,0.267319,3571750040.712831
1.000000,0.000000,0.000000,0.000000,-0.267027,0.000000,0.000000,0.275943,0.267027,3571750040.722832
1.000000,0.000000,0.000000,0.000000,-0.266735,0.000000,0.000000,0.275804,0.266735,3571750040.732831
1.000000,0.000000,0.000000,0.000000,-0.266444,0.000000,0.000000,0.275665,0.266444,3571750040.742831
1.000000,0.000000,0.000000,0.000000,-0.266153,0.000000,0.000000,0.275526,0.266153,3571750040.752833
1.000000,0.000000,0.000000,0.000000,-0.265863,0.000000,0.000000,0.275388,0.265863,3571750040.762832
1.000000,0.000000,0.000000,0.000000,-0.265573,0.000000,0.000000,0.275249,0.265573,3571750040.772831
1.000000,0.000000,0.000000,0.000000,-0.265283,0.000000,0.000000,0.275110,0.265283,3571750040.782832
1.000000,0.000000,0.000000,0.000000,-0.264994,0.000000,0.000000,0.274972,0.264994,3571750040.792823
1.000000,0.000000,0.000000,0.000000,-0.264705,0.000000,0.000000,0.274834,0.264705,3571750040.802835
1.000000,0.000000,0.000000,0.000000,-0.264417,0.000000,0.000000,0.274695,0.264417,3571750040.812833
1.000000,0.000000,0.000000,0.000000,-0.264129,0.000000,0.000000,0.274557,0.264129,3571750040.822831
1.000000,0.000000,0.000000,0.000000,-0.263841,0.000000,0.000000,0.274419,0.263841,3571750040.832831
1.000000,0.000000,0.000000,0.000000,-0.263554,0.000000,0.000000,0.274281,0.263554,3571750040.842830
1.000000,0.000000,0.000000,0.000000,-0.263267,0.000000,0.000000,0.274144,0.263267,3571750040.852830
1.000000,0.000000,0.000000,0.000000,-0.262980,0.000000,0.000000,0.274006,0.262980,3571750040.862831
1.000000,0.000000,0.000000,0.000000,-0.262694,0.000000,0.000000,0.273868,0.262694,3571750040.872832
1.000000,0.000000,0.000000,0.000000,-0.262408,0.000000,0.000000,0.273731,0.262408,3571750040.882835
1.000000,0.000000,0.000000,0.000000,-0.262123,0.000000,0.000000,0.273593,0.262123,3571750040.892823
1.000000,0.000000,0.000000,0.000000,-0.261838,0.000000,0.000000,0.273456,0.261838,3571750040.902833
1.000000,0.000000,0.000000,0.000000,-0.261553,0.000000,0.000000,0.273319,0.261553,3571750040.912832
1.000000,0.000000,0.000000,0.000000,-0.261269,0.000000,0.000000,0.273182,0.261269,3571750040.922832
1.000000,0.000000,0.000000,0.000000,-0.260985,0.000000,0.000000,0.273045,0.260985,3571750040.932832
1.000000,0.000000,0.000000,0.000000,-0.260702,0.000000,0.000000,0.272908,0.260702,3571750040.942831
1.000000,0.000000,0.000000,0.000000,-0.260419,0.000000,0.000000,0.272772,0.260419,3571750040.952830
1.000000,0.000000,0.000000,0.000000,-0.260136,0.000000,0.000000,0.272635,0.260136,3571750040.962832
1.000000,0.000000,0.000000,0.000000,-0.259854,0.000000,0.000000,0.272498,0.259854,3571750040.972831
1.000000,0.000000,0.000000,0.000000,-0.259572,0.000000,0.000000,0.272362,0.259572,3571750040.982832
1.000000,0.000000,0.000000,0.000000,-0.259290,0.000000,0.000000,0.272226,0.259290,3571750040.992830
1.000000,0.000000,0.000000,0.000000,-0.259009,0.000000,0.000000,0.272089,0.259009,3571750041.002833
1.000000,0.000000,0.000000,0.000000,-0.258728,0.000000,0.000000,0.271953,0.258728,3571750041.012830
1.000000,0.000000,0.000000,0.000000,-0.258448,0.000000,0.000000,0.271817,0.258448,3571750041.022831
1.000000,0.000000,0.000000,0.000000,-0.258168,0.000000,0.000000,0.271681,0.258168,3571750041.032829
1.000000,0.000000,0.000000,0.000000,-0.257888,0.000000,0.000000,0.271546,0.257888,3571750041.042832
1.000000,0.000000,0.000000,0.000000,-0.257609,0.000000,0.000000,0.271410,0.257609,3571750041.052833
1.000000,0.000000,0.000000,0.000000,-0.257330,0.000000,0.000000,0.271274,0.257330,3571750041.062831
1.000000,0.000000,0.000000,0.000000,-0.257051,0.000000,0.000000,0.271139,0.257051,3571750041.072832
1.000000,0.000000,0.000000,0.000000,-0.256773,0.000000,0.000000,0.271003,0.256773,3571750041.082831
